model,hyper_params,fold,accuracy,precision,recall,f1,f2,mcc
LR,"{'C': 7.1838, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 400, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 42, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0,0.9482758620689655,0.9657577679137603,0.963855421686747,0.9633581007074983,0.9633239660390519,0.9216098910540003
LR,"{'C': 1.9046, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.2, 'max_iter': 630, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 43, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 34.3923, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.8, 'max_iter': 370, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'elasticnet', 'random_state': 44, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",2,0.9636243386243386,0.9640255803989399,0.9634146341463414,0.9635645987546939,0.9634368193717531,0.9196767011018283
LR,"{'C': 0.2119, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.8, 'max_iter': 120, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 45, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",3,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LR,"{'C': 2.5552, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.9, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 46, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",4,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LR,"{'C': 1.5096, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.5, 'max_iter': 230, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l1', 'random_state': 47, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",5,0.9827586206896552,0.988170865279299,0.9879518072289156,0.9879013882667319,0.9878937644798135,0.9736335976357539
LR,"{'C': 9.1237, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.1, 'max_iter': 200, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 48, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",6,0.9821428571428572,0.9881669535283992,0.9879518072289156,0.9878965493423325,0.9878911956867192,0.9731733281027651
LR,"{'C': 1.8228, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.4, 'max_iter': 280, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 49, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",7,0.9642857142857143,0.9764808362369338,0.975609756097561,0.9753798144042046,0.9753628386667498,0.9462600928208407
LR,"{'C': 0.8564, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.7, 'max_iter': 260, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 50, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",8,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LR,"{'C': 9.1709, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.6, 'max_iter': 570, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'elasticnet', 'random_state': 51, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",9,0.9642857142857143,0.9764808362369338,0.975609756097561,0.9753798144042046,0.9753628386667498,0.9462600928208407
LR,"{'C': 1.1437, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 480, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 52, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",10,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 1.0891, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 670, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 53, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",11,0.9464285714285714,0.9657249688408809,0.963855421686747,0.9633122572105084,0.9633002418749198,0.9201493774639478
LR,"{'C': 0.761, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.2, 'max_iter': 580, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 54, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",12,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
