model,hyper_params,fold,accuracy,precision,recall,f1,f2,mcc
LR,"{'C': 0.2058, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.7, 'max_iter': 940, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l1', 'random_state': 42, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0,0.9310344827586207,0.9551308683007894,0.9518072289156626,0.9508828966660291,0.9508542010876243,0.8958883487425228
LR,"{'C': 0.1743, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.6, 'max_iter': 590, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 43, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1,0.990909090909091,0.9883672621520566,0.9879518072289156,0.9880022261910995,0.987933719658881,0.9736335976357539
LR,"{'C': 56.2208, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 1.0, 'max_iter': 140, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'elasticnet', 'random_state': 44, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",2,0.9728835978835979,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
LR,"{'C': 0.1308, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.3, 'max_iter': 700, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 45, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",3,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LR,"{'C': 28.036, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.7, 'max_iter': 180, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'elasticnet', 'random_state': 46, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",4,0.9728835978835979,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
LR,"{'C': 0.4503, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.1, 'max_iter': 150, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l1', 'random_state': 47, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",5,0.9655172413793103,0.9767641996557659,0.9759036144578314,0.9756923799092473,0.9756694404107586,0.9475142485638552
LR,"{'C': 1.7758, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.9, 'max_iter': 510, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 48, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",6,0.9730519480519481,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9461038961038961
LR,"{'C': 0.0327, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 1.0, 'max_iter': 1000, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 49, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",7,0.9636243386243386,0.9640255803989399,0.9634146341463414,0.9635645987546939,0.9634368193717531,0.9196767011018283
LR,"{'C': 0.0494, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.6, 'max_iter': 360, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 50, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",8,0.9907407407407407,0.9882253994953744,0.9878048780487805,0.9878548662515645,0.9877859080734286,0.9734666365443033
LR,"{'C': 26.5534, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.4, 'max_iter': 120, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 51, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",9,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LR,"{'C': 0.1795, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.1, 'max_iter': 210, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 52, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",10,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 0.1186, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.8, 'max_iter': 830, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 53, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",11,0.9730519480519481,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9759036144578314,0.9461038961038961
LR,"{'C': 0.0422, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.1, 'max_iter': 250, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 54, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",12,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 0.2772, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.4, 'max_iter': 590, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 55, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",13,0.9722222222222222,0.9669551534225018,0.9634146341463414,0.963822122482726,0.9632392819567388,0.9236052159781682
LR,"{'C': 0.0129, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 1.0, 'max_iter': 990, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 56, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",14,0.9550264550264551,0.9634064219430072,0.9634146341463414,0.9632498626904535,0.963310712243813,0.918288850865992
LR,"{'C': 0.0688, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.8, 'max_iter': 450, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 57, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",15,0.9655172413793103,0.9767641996557659,0.9759036144578314,0.9756923799092473,0.9756694404107586,0.9475142485638552
LR,"{'C': 0.0279, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.3, 'max_iter': 320, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 58, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",16,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 0.2325, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.3, 'max_iter': 560, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l1', 'random_state': 59, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",17,0.9365079365079365,0.9398257613025058,0.9390243902439024,0.939274331257823,0.9390877306700774,0.8658867656593533
LR,"{'C': 2.0315, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 1.0, 'max_iter': 270, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l1', 'random_state': 60, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",18,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LR,"{'C': 0.2369, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 1.0, 'max_iter': 700, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 61, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",19,0.9821428571428572,0.9880266075388027,0.9878048780487805,0.9877499542301511,0.9877436903865442,0.9730124597112038
LR,"{'C': 0.2572, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.2, 'max_iter': 940, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l1', 'random_state': 62, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",20,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 0.0412, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.1, 'max_iter': 380, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 63, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",21,0.9551948051948052,0.9638394849238222,0.963855421686747,0.9636896480269974,0.9637517853710746,0.9187804754209271
LR,"{'C': 8.2426, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.8, 'max_iter': 740, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 64, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",22,0.9285714285714286,0.9545836837678723,0.9512195121951219,0.9502144197266149,0.9502141607933898,0.8933250005738372
LR,"{'C': 1.6656, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.6, 'max_iter': 320, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'elasticnet', 'random_state': 65, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",23,0.9642857142857143,0.9764808362369338,0.975609756097561,0.9753798144042046,0.9753628386667498,0.9462600928208407
LR,"{'C': 0.1822, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.1, 'max_iter': 210, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 66, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",24,0.9728835978835979,0.975609756097561,0.975609756097561,0.975609756097561,0.975609756097561,0.9457671957671958
LR,"{'C': 0.4942, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.1, 'max_iter': 620, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 67, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",25,0.9827586206896552,0.988170865279299,0.9879518072289156,0.9879013882667319,0.9878937644798135,0.9736335976357539
LR,"{'C': 0.3856, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 1.0, 'max_iter': 320, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 68, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",26,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 2.0875, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.9, 'max_iter': 520, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l1', 'random_state': 69, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",27,1.0,1.0,1.0,1.0,1.0,1.0
