model,hyper_params,fold,accuracy,precision,recall,f1,f2,mcc
LR,"{'C': 0.6227, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.8, 'max_iter': 640, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l1', 'random_state': 42, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 1.7963, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.5, 'max_iter': 720, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 43, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1,0.9482758620689655,0.9524617996604414,0.9473684210526315,0.9472711053442544,0.9466997050392159,0.8998825779289579
LR,"{'C': 2.5355, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.9, 'max_iter': 540, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 44, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",2,0.9642857142857143,0.9666666666666667,0.9642857142857143,0.9642401021711366,0.9639722392324964,0.9309493362512627
LR,"{'C': 0.0895, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.2, 'max_iter': 710, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'elasticnet', 'random_state': 45, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",3,0.9464285714285714,0.9469987228607918,0.9464285714285714,0.9464114832535885,0.9463493035358947,0.8934271123648291
LR,"{'C': 0.2459, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.3, 'max_iter': 810, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 46, 'solver': 'liblinear', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",4,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 0.2221, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.1, 'max_iter': 880, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'elasticnet', 'random_state': 47, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",5,0.9470443349753694,0.9478882391163093,0.9473684210526315,0.9473359824831725,0.9472854304876214,0.8951918025972584
LR,"{'C': 9.1237, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.1, 'max_iter': 200, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 48, 'solver': 'newton-cg', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",6,0.9655172413793103,0.9672514619883041,0.9649122807017544,0.9648906749632703,0.9646185294813909,0.932183199398798
LR,"{'C': 0.7554, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.6, 'max_iter': 370, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'elasticnet', 'random_state': 49, 'solver': 'saga', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",7,1.0,1.0,1.0,1.0,1.0,1.0
LR,"{'C': 1.2597, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.8, 'max_iter': 110, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 50, 'solver': 'lbfgs', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",8,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9285714285714286
LR,"{'C': 0.3177, 'class_weight': None, 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.9, 'max_iter': 280, 'multi_class': 'deprecated', 'n_jobs': 1, 'penalty': 'l2', 'random_state': 51, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",9,0.9821428571428572,0.9827586206896551,0.9821428571428571,0.9821371610845295,0.9820654115005867,0.9649012813540154
